,Unnamed: 0,Ingredient Name,Quantity,Price
0,0,Phool Makhana,100 g - Pouch,₹169
1,1,Gingelly Oil,1 L - Pouch,₹418
2,2,Peanuts/Kadalekayi - Raw,200 g - Pouch,₹40
3,3,Organic - Raw Peanuts,2x1 kg - Multipack,₹428
4,4,Californian Almond - Giri,1 kg - Pouch,₹728
5,5,Moong Dal/Hesaru Bele,1 kg - Pouch,₹172
6,6,Peanuts/Kadalekayi - Raw,1 kg - Pouch,₹174
7,7,Urad Dal/Uddina Bele Whole White,1 kg ,₹186
8,8,Organic Almond,1 kg ,₹1069.1
9,9,Sugar,1 kg ,₹53.48
10,10,Vacuum Evaporated Iodised Salt - Helps Mental Development,1 kg - Pouch,₹25
11,11,Moong Dal/Hesaru Bele,500 g - Pouch,₹80
12,12,Idli/Idly Rice,1 kg ,₹59
13,13,Rice Bran Health Physically Refined Oil,3x1 L - (Multipack),₹346.65
14,14,Phool Makhana,200 g ,₹369
15,15,"Gold Refined Cooking Oil - Blended Rice Bran & Sunflower Oil, Helps Keeps Heart Healthy",1 L - Pet Bottle,₹155
16,16,Extra Virgin Olive Oil - Original,26 kg - Bag,₹1509
17,17,Sona Masoori Steam Rice - 6+ Months Old,5x1 kg - Multipack,₹1608
18,18,Sooji Ordinary/Bombay Rava,2 x 1 L - Multipack,₹285
19,19,High Aroma Cow Ghee,1 kg - Pouch,₹1339.06
20,20,Basmati Rice/Basmati Akki - Feast Rozzana,2 kg - Pouch,₹90
21,21,"Urad Gota - Desi, Unpolished Mature Pulses For Easy Cooking & Rich Flavour",3x1 L - Multipack,₹315.2
22,22,Refined - Sunflower Oil,10 kg - Pouch,₹318
23,23,Superior-Mp-Sharbati-Atta/Godihittu - Fortified,5 kg ,₹489
24,24,White Label Sugar,200 g - Pouch,₹233
25,25,Walnut/Akhrot - Kernels,2x1kg - Multipack,₹295
26,26,"White Thick Poha - High In Fibre, For Breakfast & Evening Tea",200 g - Pouch,₹167
27,27,Chana - Kabuli/Kabuli Kadale,26 kg - Bag,₹39
